"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"AM","American Greetings Corporation","15.57","526349128.23","n/a","n/a","Consumer Services","Consumer: Greeting Cards","http://www.nasdaq.com/symbol/am",
"MRF","American Income Fund, Inc.","8.01","75807841.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mrf",
"AMIC","American Independence Corp.","5.0799","42022619.3268","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic",
"AIG/WS","American International Group, Inc.","13.4","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aig/ws",
"AFF","American International Group, Inc.","25.212","0","n/a","1994","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/aff",
"AIG","American International Group, Inc.","33.59","58059631477.09","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/aig",
"AVF","American International Group, Inc.","25.7886","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/avf",
"ALRN","American Learning Corporation","0.9601","4723322.3615","n/a","1984","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/alrn",
"ALN","American Lorain Corporation","1.2399","42786312.9726","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMID","American Midstream Partners, LP","18.9999","173049493.2084","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amid",
"XAA","American Municipal Income Portfolio","15.87","91351957.29","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/xaa",
"AMNB","American National Bankshares, Inc.","22.33","174979130.48","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","70.285","1886214929.24","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"APFC","American Pacific Corporation","13.16","100313297.56","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apfc",
"APEI","American Public Education, Inc.","36.19","653091435.15","n/a","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","30.91","659999500.27","n/a","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"ARCP","American Realty Capital Properties, Inc.","11.84","132177225.28","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/arcp",
"ARCT          ","American Realty Capital Trust, Inc.","12.45","1973012031.9","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/arct          ",
"ARL","American Realty Investors, Inc.","2.3982","27640187.8998","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/arl",
"ARC","American Reprographics Company","4","185147868","n/a","2004","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/arc",
"AMRB","American River Bankshares","6.8","63433670.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"ASI","American Safety Insurance Holdings, Ltd.","18.04","184957210.68","n/a","1998","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/asi",
"ASEI","American Science and Engineering, Inc.","60.94","513773805.16","n/a","n/a","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/asei",
"SLA","American Select Portfolio, Inc.","10.93","116537791.35","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/sla",
"AMS","American Shared Hospital Services","2.88","13264905.6","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"AMSWA","American Software, Inc.","8.02","217511053.58","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AQQ","American Spectrum Realty, Inc.","4.59","16362353.97","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aqq",
"AWR","American States Water Company","44.08","834155285.44","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awr",
"ASP","American Strategic Income Portfolio","12.042","50953687.902","n/a","1991","n/a","n/a","http://www.nasdaq.com/symbol/asp",
"BSP","American Strategic Income Portfolio II","8.798","140642549.318","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/bsp",
"CSP","American Strategic Income Portfolio III","7.336","156667784.728","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/csp",
"AMSC","American Superconductor Corporation","3.79","199473949.71","n/a","1991","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc",
"AMT","American Tower Corporation (REIT)","72.05","28471135124.85","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amt",
"AVD","American Vanguard Corporation","31.17","870353239.62","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/avd",
"AWK","American Water Works","37.508","6617537302.684","n/a","2008","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awk",
"AMWD","American Woodmark Corporation","19.89","288475012.8","n/a","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","47.51","438126387.72","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt",
"APU","AmeriGas Partners, L.P.","42.06","3902864242.68","n/a","1995","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/apu",
"THRM","Amerigon Incorporated","12.81","378971565.21","n/a","2006","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/thrm",
"AGP","AMERIGROUP Corporation","91.04","4427124073.6","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/agp",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","56.5","11906163979","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amp",
"AMP^A","AMERIPRISE FINANCIAL SERVICES, INC.","27.91","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amp^a",
"ABCB","Ameris Bancorp","12.36","294404619.84","n/a","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","25.19","458136222.94","n/a","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","2.9","55925110.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","26.63","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ABC","AmerisourceBergen Corporation (Holding Co)","38.22","9617560559.88","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/abc",
"ASCA","Ameristar Casinos, Inc.","16.98","558899790.36","n/a","1993","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/asca",
"ATLO","Ames National Corporation","21.1","196460264.3","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","84","64744585836","n/a","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","5.25","259032800.25","n/a","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","4.62","719635718.34","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr",
"AHS","AMN Healthcare Services Inc","9.1901","375276070.0919","n/a","2001","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ahs",
"AMPL","Ampal-American Israel Corporation","1.78","4995904.64","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/ampl",
"AP","Ampco-Pittsburgh Corporation","18.02","186376463.12","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","62.01","9982805358.24","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aph",
"AMPE","Ampio Pharmaceuticals, Inc.","2.92","108003949.68","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"AMRE","AmREIT, Inc.","14.876","232423531.436","n/a","1987","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amre",
"AXR","AMREP Corporation","6.17","36996628.04","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/axr",
"AMSG","Amsurg Corp.","29.79","940698461.61","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsg",
"ASYS","Amtech Systems, Inc.","3.91","37062917.37","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys",
"AME","AMTEK, Inc.","35.29","8559094169.56","n/a","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/ame",
"AFSI","AmTrust Financial Services, Inc.","27","1803916926","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","3.27","192077092.44","n/a","1992","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs",
"ANAC","Anacor Pharmaceuticals, Inc.","6.62","208649762.42","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anac",
"APC","Anadarko Petroleum Corporation","72.29","36121793753.36","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apc",
"ANAD","ANADIGICS, Inc.","1.28","90849132.8","n/a","1995","Technology","Semiconductors","http://www.nasdaq.com/symbol/anad",
"ADI","Analog Devices, Inc.","40.21","12018993894.53","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi",
"ALOG","Analogic Corporation","70.25","859952238.25","n/a","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog",
"ANLY","Analysts International Corporation","3.91","19869083.37","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/anly",
"ANEN","Anaren, Inc.","19.29","268087327.44","n/a","1972","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/anen",
"ACOM          ","Ancestry.com Inc.","30.96","1331330031.36","n/a","1993","Technology","EDP Services","http://www.nasdaq.com/symbol/acom          ",
"ANCB","Anchor Bancorp","12","30600000","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"AMCF","Andatee China Marine Fuel Services Corporation","1.186","11289494.862","n/a","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"ANDA","Andina Acquisition Corporation","9.68","101640000","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/anda",
"ANDAU","Andina Acquisition Corporation","10","16500010","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corporation","0.25","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"ANGI","Angie&#39;s List, Inc.","9.73","562054578.68","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","12.12","422129019.24","n/a","2004","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango",
"AU","AngloGold Ashanti Limited","34.04","13116501703.48","n/a","1987","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/au",
"AU^A","AngloGold Ashanti Limited","40.75","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/au^a",
"BUD","Anheuser-Busch Inbev SA","86.84","139465040000","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/bud",
"ANIK","Anika Therapeutics Inc.","14.33","197791114.7","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/anik",
"AXE","Anixter International Inc.","62.3799","2072483473.2822","n/a","n/a","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/axe",
"ANN","ANN INC.","38.55","1824352921.5","n/a","1991","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/ann",
"NLY","Annaly Capital Management Inc","17.54","17096609321.8","n/a","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nly",
"NLY^A","Annaly Capital Management Inc","25.9899","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^a",
"NLY^C","Annaly Capital Management Inc","25.47","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^c",
"ANNB","Annapolis Bancorp Inc.","7.14","28383841.92","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/annb",
"BNNY","Annie&#39;s, Inc.","45.25","771970022.75","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bnny",
"ANSS","ANSYS, Inc.","71.93","6641588000.71","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","3.8601","422003718.6156","n/a","2002","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","0.9125","72189581.375","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"ANH","Anworth Mortgage Asset  Corporation","6.92","963186897.36","n/a","1998","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/anh",
"ANH^A","Anworth Mortgage Asset  Corporation","26.4899","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anh^a",
"ANH^B","Anworth Mortgage Asset  Corporation","26","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anh^b",
"AOL","AOL Inc.","33.44","3142459761.76","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/aol",
"AON","Aon plc","51.96","16752243922.32","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/aon",
"AXN","Aoxing Pharmaceutical Company, Inc.","0.256","12664278.272","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"APA","Apache Corporation","89.04","34833816277.68","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"APA^D","Apache Corporation","50.43","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apa^d",
"AIV","Apartment Investment and Management Company","27.12","3947158704","n/a","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiv",
"AIV^Z","Apartment Investment and Management Company","27.3901","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aiv^z",
"APAGF","Apco Oil and Gas International Inc.","16.57","487841346.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apagf",
"ATNY","API Technologies Corp.","3.01","164841497.17","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"APOG","Apogee Enterprises, Inc.","16.61","470752414.66","n/a","1971","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
"ARI","Apollo Commercial Real Estate Finance","17.8","366156964.8","n/a","1996","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ari",
"ARI^A","Apollo Commercial Real Estate Finance","25.6","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ari^a",
"APO","Apollo Global Management, LLC","13.88","1802655103.56","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/apo",
"BRD","Apollo Gold Corporation","0.948","206032805.484","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/brd",
"APOL","Apollo Group, Inc.","30.04","3405785000","n/a","1994","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apol",
"AINV","Apollo Investment Corporation","8.22","1667766905.22","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/ainv",
"AMTG","Apollo Residential Mortgage, Inc.","20.85","504244948.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amtg",
"AFT","Apollo Senior Floating Rate Fund Inc.","19.05","294818866.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aft",
"AAPL","Apple Inc.","680.03","637464202180","n/a","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"ARCI","Appliance Recycling Centers of America, Inc.","3.54","19667981.58","n/a","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci",
"AIT","Applied Industrial Technologies, Inc.","43.45","1823561479.3","n/a","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/ait",
"AMAT","Applied Materials, Inc.","11.755","14546755500.005","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"AMCC","Applied Micro Circuits Corporation","5.54","357831757.8","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/amcc",
"AREX","Approach Resources Inc.","31.66","1061636353.88","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"APRI","Apricus Biosciences, Inc","2.92","86420690.84","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apri",
"ATR","AptarGroup, Inc.","51.08","3401602058.52","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/atr",
"WTR","Aqua America, Inc.","25.23","3525486624.99","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
"ARSD","Arabian American Development Company","9.9736","240223979.996","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/arsd",
"ARB","Arbitron Inc.","38.31","1000992527.43","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/arb",
"ABR","Arbor Realty Trust","5.67","157338105.75","n/a","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/abr",
"ARCW","ARC Group Worldwide, Inc.","7.37","11683727.33","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/arcw",
"ABIO","ARCA biopharma, Inc.","0.35","5116859.3","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/abio",
"MT","ArcelorMittal","16.01","24799490000","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mt",
"ACGL","Arch Capital Group Ltd.","40.481","5518158973.509","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl",
"ARH^C","Arch Capital Group Ltd.","27.1","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arh^c",
"ACI","Arch Coal, Inc.","6.625","1406281860","n/a","1988","Energy","Coal Mining","http://www.nasdaq.com/symbol/aci",
"ADM","Archer-Daniels-Midland Company","27.22","17927486934.98","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/adm",
"ARCO","Arcos Dorados Holdings Inc.","13.73","2876838826.76","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arco",
"ACAT","Arctic Cat Inc.","44.04","579015855.96","n/a","1990","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/acat",
"ARDNA","Arden Group, Inc.","91","279461000","n/a","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/ardna",
"ARNA","Arena Pharmaceuticals, Inc.","8.635","1872223032.79","n/a","2000","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arna",
"AFC","Ares Capital Corporation","25.06","200480000","n/a","1984","n/a","n/a","http://www.nasdaq.com/symbol/afc",
"ARCC","Ares Capital Corporation","17.41","4318128220.45","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/arcc",
"ARN","Ares Capital Corporation","26.68","0","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/arn",
"ARY","Ares Capital Corporation","26.91","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ary",
